last_name, first_name,year,xba,xslg,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,
Beltran, Carlos,2017,.242,.384,.298,.296,.138,87.3,13.3,4.6,
Pujols, Albert,2017,.261,.450,.323,.305,.182,88.7,13.4,5.4,
Mauer, Joe,2017,.307,.476,.375,.385,.162,90.2,5.6,4.5,
Cabrera, Miguel,2017,.282,.528,.378,.359,.242,91.3,12.2,10.5,
Phillips, Brandon,2017,.273,.389,.307,.309,.109,84.5,8.0,2.4,
Reyes, Jose,2017,.242,.355,.297,.313,.108,83.5,14.6,2.6,
Choo, Shin-Soo,2017,.276,.485,.375,.373,.204,88.0,7.2,8.6,
Molina, Yadier,2017,.273,.470,.338,.315,.191,87.8,14.5,5.9,
Cano, Robinson,2017,.298,.499,.366,.355,.193,90.3,7.4,6.3,
Encarnacion, Edwin,2017,.266,.535,.393,.386,.264,89.2,16.7,10.6,
Bautista, Jose,2017,.212,.384,.309,.317,.169,88.3,16.9,6.6,
Jones, Adam,2017,.269,.445,.324,.307,.172,86.5,11.6,6.4,
Granderson, Curtis,2017,.225,.457,.344,.336,.227,87.5,20.2,10.9,
Ramirez, Hanley,2017,.269,.492,.355,.344,.217,88.4,12.5,9.5,
Morales, Kendrys,2017,.269,.513,.357,.326,.238,91.1,9.5,10.0,
Kinsler, Ian,2017,.258,.438,.336,.333,.176,86.2,19.3,4.9,
Cruz, Nelson,2017,.293,.599,.411,.382,.301,93.2,12.4,14.2,
Trumbo, Mark,2017,.236,.399,.301,.290,.159,89.6,12.6,7.1,
Peralta, David,2017,.267,.403,.322,.328,.131,88.0,4.2,4.1,
Escobar, Alcides,2017,.257,.360,.280,.278,.099,83.1,12.7,2.2,
Longoria, Evan,2017,.249,.417,.315,.306,.162,86.7,12.7,5.2,
Cozart, Zack,2017,.256,.406,.336,.350,.145,85.8,14.7,4.4,
Reynolds, Mark,2017,.221,.422,.321,.312,.195,87.1,11.9,8.3,
Davis, Chris,2017,.222,.450,.332,.318,.226,89.9,14.8,12.8,
Headley, Chase,2017,.256,.401,.327,.338,.139,86.7,11.3,4.6,
Pence, Hunter,2017,.269,.438,.331,.326,.163,89.0,4.4,5.8,
Span, Denard,2017,.283,.412,.331,.340,.123,84.6,10.3,3.3,
Cabrera, Asdrubal,2017,.264,.437,.338,.338,.167,86.7,11.3,4.7,
Blackmon, Charlie,2017,.291,.524,.378,.364,.228,86.9,12.8,8.7,
Frazier, Todd,2017,.239,.464,.363,.367,.221,87.5,20.3,9.6,
Markakis, Nick,2017,.269,.390,.327,.349,.114,88.3,8.6,3.3,
Cain, Lorenzo,2017,.313,.443,.358,.376,.126,89.1,10.1,3.5,
McCutchen, Andrew,2017,.291,.493,.371,.374,.198,88.4,14.2,7.7,
Upton, Justin,2017,.255,.508,.364,.345,.250,88.7,15.7,13.2,
Turner, Justin,2017,.304,.555,.407,.401,.248,89.3,18.3,8.6,
Posey, Buster,2017,.282,.452,.355,.369,.164,88.7,11.6,3.5,
Bruce, Jay,2017,.264,.514,.364,.334,.246,88.4,18.2,10.7,
Votto, Joey,2017,.304,.569,.427,.443,.259,87.6,14.0,9.1,
Gardner, Brett,2017,.278,.416,.344,.363,.132,85.4,9.2,3.8,
Joyce, Matt,2017,.253,.480,.358,.347,.224,88.1,15.2,8.8,
Gordon, Alex,2017,.225,.365,.300,.311,.136,85.8,13.2,4.5,
Andrus, Elvis,2017,.265,.412,.315,.308,.139,86.4,7.5,4.2,
Cabrera, Melky,2017,.302,.439,.341,.342,.130,88.2,8.7,3.8,
Santana, Carlos,2017,.266,.472,.364,.370,.201,88.4,12.7,7.5,
Gonzalez, Carlos,2017,.242,.377,.313,.325,.130,87.4,6.1,5.9,
Mercer, Jordy,2017,.264,.389,.311,.334,.119,85.7,9.2,3.1,
Alonso, Yonder,2017,.261,.503,.370,.360,.238,89.2,19.4,9.9,
Smoak, Justin,2017,.275,.572,.393,.360,.292,89.7,17.0,13.6,
Zimmerman, Ryan,2017,.295,.570,.388,.350,.271,91.4,8.5,12.7,
Lowrie, Jed,2017,.290,.487,.372,.371,.193,88.8,18.6,6.0,
Morrison, Logan,2017,.255,.513,.372,.362,.256,88.6,17.6,12.8,
Gurriel, Yuli,2017,.287,.442,.333,.323,.150,89.8,10.3,3.4,
Solarte, Yangervis,2017,.248,.391,.307,.310,.135,85.5,14.5,3.9,
Freese, David,2017,.257,.400,.344,.367,.137,89.0,3.0,6.4,
Davis, Khris,2017,.266,.586,.395,.355,.316,92.2,14.2,17.7,
Pham, Tommy,2017,.293,.497,.390,.401,.198,89.2,6.5,9.3,
Reddick, Josh,2017,.296,.448,.348,.351,.149,87.2,17.5,3.8,
Murphy, Daniel,2017,.301,.498,.367,.366,.192,89.6,17.3,4.8,
Goldschmidt, Paul,2017,.288,.567,.404,.397,.273,91.4,11.6,13.3,
Gonzalez, Marwin,2017,.258,.424,.333,.339,.160,87.5,10.9,6.6,
Altuve, Jose,2017,.303,.494,.376,.373,.185,85.5,9.1,6.7,
Hernandez, Cesar,2017,.290,.414,.348,.370,.118,84.3,3.3,2.9,
Segura, Jean,2017,.283,.416,.327,.334,.127,87.4,6.6,3.2,
Freeman, Freddie,2017,.293,.596,.409,.391,.299,89.6,15.8,13.3,
LeMahieu, DJ,2017,.310,.412,.349,.375,.096,88.8,2.8,1.9,
Moreland, Mitch,2017,.272,.533,.374,.351,.257,89.1,11.5,12.0,
Moustakas, Mike,2017,.265,.492,.341,.311,.221,87.3,18.3,8.6,
Rizzo, Anthony,2017,.279,.517,.394,.399,.233,88.1,15.3,9.3,
Souza Jr., Steven,2017,.241,.453,.351,.353,.208,88.0,10.9,11.5,
Stanton, Giancarlo,2017,.276,.586,.401,.373,.306,91.9,11.1,17.4,
Thames, Eric,2017,.226,.453,.343,.341,.225,88.1,12.7,11.1,
Galvis, Freddy,2017,.257,.383,.305,.311,.120,85.1,14.0,2.4,
Garcia, Avisail,2017,.309,.525,.378,.361,.211,90.3,7.5,8.8,
Inciarte, Ender,2017,.268,.356,.297,.317,.080,81.2,8.6,0.5,
Ozuna, Marcell,2017,.287,.519,.372,.354,.228,90.7,10.1,9.3,
Beckham, Tim,2017,.265,.455,.334,.316,.186,87.8,8.4,9.5,
Crawford, Brandon,2017,.242,.407,.310,.301,.160,87.4,11.4,6.0,
Harrison, Josh,2017,.263,.407,.324,.331,.140,84.1,15.7,2.7,
Hosmer, Eric,2017,.298,.467,.364,.368,.164,89.7,3.8,7.0,
Rendon, Anthony,2017,.286,.494,.382,.393,.205,89.8,18.0,6.5,
Shaw, Travis,2017,.251,.442,.333,.330,.186,88.3,14.6,7.2,
Springer, George,2017,.298,.537,.393,.382,.235,89.3,9.4,9.3,
Gordon, Dee,2017,.276,.332,.287,.312,.048,79.3,0.2,0.2,
Gregorius, Didi,2017,.263,.388,.298,.297,.123,84.4,17.4,3.6,
Trout, Mike,2017,.297,.593,.430,.437,.294,88.8,18.0,13.3,
Herrera, Odubel,2017,.271,.420,.319,.317,.145,86.5,8.9,6.2,
Abreu, Jose,2017,.292,.526,.371,.344,.230,90.5,11.3,9.5,
Suarez, Eugenio,2017,.261,.444,.358,.369,.180,86.2,14.7,6.9,
Santana, Domingo,2017,.275,.479,.369,.369,.198,89.3,10.5,9.7,
Sanchez, Yolmer,2017,.245,.363,.292,.301,.112,83.8,9.3,3.4,
Schoop, Jonathan,2017,.272,.444,.336,.322,.167,87.7,12.9,6.8,
Arenado, Nolan,2017,.280,.529,.371,.350,.243,88.8,17.3,8.5,
Hamilton, Billy,2017,.237,.289,.261,.291,.044,78.6,8.3,0.4,
Joseph, Tommy,2017,.240,.408,.305,.290,.164,89.1,14.0,7.3,
Lamb, Jake,2017,.257,.469,.358,.368,.209,88.3,12.2,9.3,
Myers, Wil,2017,.238,.441,.333,.327,.200,89.1,15.3,9.1,
Seager, Kyle,2017,.263,.487,.353,.338,.221,87.8,20.2,8.6,
Carpenter, Matt,2017,.254,.485,.383,.396,.229,88.9,21.4,8.2,
Dickerson, Corey,2017,.263,.452,.324,.307,.184,87.2,13.8,7.5,
Dozier, Brian,2017,.252,.484,.354,.343,.227,87.5,16.5,8.4,
Bryant, Kris,2017,.268,.507,.386,.389,.234,87.1,16.9,9.6,
Castellanos, Nicholas,2017,.290,.546,.379,.339,.252,89.1,14.1,10.7,
Gamel, Ben,2017,.257,.386,.303,.307,.123,86.2,10.7,4.1,
Healy, Ryon,2017,.254,.453,.319,.288,.193,88.2,12.6,7.6,
Judge, Aaron,2017,.284,.651,.446,.424,.364,94.9,15.8,25.7,
Machado, Manny,2017,.287,.526,.371,.340,.235,90.9,13.4,10.5,
Realmuto, J.T.,2017,.284,.450,.341,.339,.162,88.2,9.9,6.3,
Rosario, Eddie,2017,.268,.482,.335,.309,.208,86.6,12.7,7.4,
Simmons, Andrelton,2017,.269,.388,.315,.325,.115,85.9,7.6,2.5,
Yelich, Christian,2017,.290,.460,.364,.378,.166,90.4,4.7,7.0,
Merrifield, Whit,2017,.289,.470,.341,.327,.177,87.0,15.8,5.1,
Bogaerts, Xander,2017,.260,.349,.305,.332,.085,87.3,8.2,1.3,
Polanco, Jorge,2017,.256,.379,.306,.315,.119,83.6,14.8,2.6,
Calhoun, Kole,2017,.247,.413,.330,.338,.160,88.2,12.1,5.4,
Duvall, Adam,2017,.229,.428,.308,.286,.197,87.3,21.2,8.9,
Schebler, Scott,2017,.264,.499,.356,.336,.229,88.8,11.3,10.2,
Baez, Javier,2017,.248,.437,.306,.294,.185,86.9,9.2,8.4,
Lindor, Francisco,2017,.291,.515,.372,.354,.221,88.3,13.6,7.2,
Odor, Rougned,2017,.234,.410,.296,.281,.173,88.4,15.2,6.0,
Story, Trevor,2017,.219,.409,.301,.291,.187,88.9,18.8,10.5,
Sanchez, Gary,2017,.292,.547,.389,.359,.251,90.8,13.2,11.8,
Kepler, Max,2017,.245,.378,.305,.315,.129,88.3,12.7,4.0,
Franco, Maikel,2017,.252,.409,.314,.305,.151,88.9,11.4,6.0,
Bradley Jr., Jackie,2017,.251,.422,.330,.331,.167,88.1,9.4,7.5,
Bell, Josh,2017,.265,.441,.340,.343,.171,87.7,8.6,6.7,
Betts, Mookie,2017,.279,.444,.348,.360,.161,88.4,14.1,4.5,
Panik, Joe,2017,.261,.384,.315,.328,.116,84.5,11.3,2.6,
Arcia, Orlando,2017,.253,.370,.292,.305,.111,85.3,6.2,4.1,
Peraza, Jose,2017,.297,.378,.314,.334,.076,81.9,9.9,1.7,
Pillar, Kevin,2017,.267,.400,.313,.312,.129,85.5,12.8,3.4,
Ramirez, Jose,2017,.302,.487,.363,.360,.182,88.0,14.8,5.0,
Bregman, Alex,2017,.285,.455,.352,.354,.167,87.4,16.2,4.7,
Gallo, Joey,2017,.222,.554,.378,.344,.331,93.1,22.7,22.1,
Seager, Corey,2017,.299,.522,.387,.380,.220,89.7,11.1,8.5,
Mazara, Nomar,2017,.249,.425,.322,.320,.172,89.0,11.3,6.5,
Swanson, Dansby,2017,.245,.345,.297,.328,.095,86.8,8.4,3.0,
Taylor, Chris,2017,.282,.463,.354,.349,.177,86.8,11.8,7.8,
Buxton, Byron,2017,.250,.399,.309,.311,.145,85.0,11.8,5.6,
Margot, Manuel,2017,.265,.378,.308,.318,.108,84.5,10.1,2.6,
Puig, Yasiel,2017,.275,.496,.366,.359,.216,88.4,10.6,9.4,
Anderson, Tim,2017,.249,.391,.286,.269,.136,85.0,7.1,5.1,
Bellinger, Cody,2017,.253,.535,.364,.341,.278,89.6,16.5,12.2,
Mancini, Trey,2017,.274,.493,.347,.322,.214,88.6,7.2,9.8,
Benintendi, Andrew,2017,.270,.441,.344,.353,.167,87.1,14.2,5.5,
Ortiz, David,2016,.310,.631,.428,.400,.318,92.9,16.7,15.3,
Beltre, Adrian,2016,.294,.516,.373,.354,.218,90.1,14.4,8.5,
Beltran, Carlos,2016,.270,.435,.325,.315,.162,90.0,12.7,6.8,
Werth, Jayson,2016,.252,.426,.341,.345,.171,91.3,14.9,7.7,
Martinez, Victor,2016,.286,.507,.365,.350,.217,90.0,15.7,8.4,
Utley, Chase,2016,.256,.384,.313,.323,.127,87.2,11.7,4.3,
Pujols, Albert,2016,.285,.530,.372,.342,.240,91.5,12.0,9.5,
Mauer, Joe,2016,.282,.447,.359,.381,.161,89.7,3.8,5.7,
Cabrera, Miguel,2016,.338,.680,.456,.414,.338,93.6,12.3,15.9,
Gonzalez, Adrian,2016,.273,.424,.331,.340,.147,88.0,9.4,4.6,
Phillips, Brandon,2016,.264,.377,.294,.296,.109,86.1,9.6,2.7,
Upton, B.J.,2016,.235,.398,.299,.289,.160,87.9,8.8,6.1,
Molina, Yadier,2016,.294,.432,.342,.349,.134,87.6,9.1,3.6,
Cano, Robinson,2016,.286,.488,.355,.340,.198,90.1,11.6,7.7,
Encarnacion, Edwin,2016,.266,.537,.383,.362,.268,90.8,15.7,12.3,
Bautista, Jose,2016,.258,.450,.370,.388,.190,91.6,14.8,9.0,
Jones, Adam,2016,.270,.471,.337,.317,.198,88.4,14.5,8.0,
Martin, Russell,2016,.225,.410,.328,.333,.182,89.0,9.7,9.3,
Granderson, Curtis,2016,.246,.433,.337,.344,.185,87.6,18.4,7.4,
Pagan, Angel,2016,.293,.396,.328,.346,.101,85.6,12.2,3.0,
Ramirez, Hanley,2016,.274,.479,.357,.351,.202,90.4,9.1,10.4,
Morales, Kendrys,2016,.289,.556,.391,.354,.263,92.7,11.4,10.8,
Kendrick, Howie,2016,.279,.425,.341,.350,.143,90.1,1.6,5.8,
Napoli, Mike,2016,.221,.470,.342,.321,.246,89.6,18.6,13.3,
Kinsler, Ian,2016,.268,.423,.330,.330,.153,87.0,18.3,4.0,
Desmond, Ian,2016,.268,.431,.327,.321,.161,90.5,4.7,7.5,
Cruz, Nelson,2016,.286,.595,.401,.361,.307,94.4,11.1,16.5,
Trumbo, Mark,2016,.275,.555,.376,.334,.279,92.7,14.7,15.8,
Escobar, Alcides,2016,.251,.326,.270,.283,.072,82.9,8.3,1.4,
Prado, Martin,2016,.298,.387,.328,.353,.085,87.9,8.9,1.3,
Longoria, Evan,2016,.272,.539,.362,.321,.265,90.7,18.3,11.9,
Cozart, Zack,2016,.240,.362,.291,.299,.118,86.1,15.2,2.3,
Davis, Chris,2016,.219,.489,.351,.332,.268,90.8,16.9,15.1,
Zobrist, Ben,2016,.281,.421,.362,.395,.137,88.2,8.6,4.5,
Fowler, Dexter,2016,.267,.415,.360,.386,.146,87.4,12.0,5.6,
Headley, Chase,2016,.242,.380,.312,.323,.134,87.1,11.7,5.9,
Span, Denard,2016,.288,.391,.329,.352,.099,84.7,5.4,2.8,
Cabrera, Asdrubal,2016,.257,.426,.323,.316,.167,88.2,14.5,5.7,
Ellsbury, Jacoby,2016,.268,.359,.310,.334,.089,86.5,10.4,1.7,
Tulowitzki, Troy,2016,.266,.492,.355,.331,.224,90.0,13.9,9.6,
Blackmon, Charlie,2016,.302,.485,.366,.363,.181,86.9,14.5,6.8,
Frazier, Todd,2016,.220,.427,.315,.299,.205,88.8,20.3,10.1,
Markakis, Nick,2016,.279,.420,.343,.360,.137,90.6,10.9,4.9,
Pedroia, Dustin,2016,.290,.406,.338,.353,.113,88.5,8.4,2.5,
Nunez, Eduardo,2016,.273,.403,.313,.314,.128,88.6,8.1,4.4,
McCutchen, Andrew,2016,.269,.465,.350,.349,.195,89.6,16.1,8.5,
Upton, Justin,2016,.252,.484,.342,.316,.230,91.3,15.6,12.5,
Turner, Justin,2016,.275,.483,.357,.342,.205,90.5,16.8,8.8,
Posey, Buster,2016,.293,.490,.368,.368,.194,90.5,9.8,7.1,
Espinosa, Danny,2016,.210,.379,.296,.307,.167,86.4,12.0,9.1,
Bruce, Jay,2016,.250,.469,.333,.311,.217,88.8,14.6,8.7,
Votto, Joey,2016,.304,.536,.404,.418,.229,89.6,11.6,9.7,
Gardner, Brett,2016,.258,.348,.318,.349,.086,85.4,6.3,2.4,
Saunders, Michael,2016,.239,.420,.325,.326,.180,89.6,10.7,8.3,
Braun, Ryan,2016,.291,.476,.358,.355,.181,89.9,4.3,8.4,
Gordon, Alex,2016,.232,.425,.327,.323,.191,87.8,15.4,8.7,
Kemp, Matt,2016,.265,.518,.347,.304,.250,88.2,14.4,11.1,
Andrus, Elvis,2016,.285,.387,.328,.349,.099,86.9,8.4,1.8,
Cabrera, Melky,2016,.281,.385,.317,.333,.102,89.2,10.9,2.1,
Ramos, Wilson,2016,.286,.493,.358,.337,.201,90.7,4.8,7.6,
Santana, Carlos,2016,.273,.512,.385,.379,.235,90.7,14.1,9.8,
Gonzalez, Carlos,2016,.280,.472,.346,.334,.189,90.1,8.6,8.8,
Mercer, Jordy,2016,.259,.362,.307,.332,.099,86.1,10.1,2.2,
Belt, Brandon,2016,.268,.495,.385,.390,.226,87.2,21.0,11.3,
Carter, Chris,2016,.236,.532,.368,.335,.294,91.7,18.5,17.6,
Alonso, Yonder,2016,.265,.410,.324,.328,.141,88.1,10.4,4.1,
Escobar, Yunel,2016,.282,.385,.323,.336,.098,88.8,1.3,2.8,
Cespedes, Yoenis,2016,.283,.526,.373,.359,.240,91.7,16.3,9.8,
Ramirez, Alexei,2016,.240,.300,.256,.276,.056,84.3,8.9,0.5,
Davis, Khris,2016,.257,.561,.370,.318,.302,91.7,12.9,17.0,
Martinez, J.D.,2016,.296,.569,.399,.368,.272,91.4,13.4,14.2,
Valencia, Danny,2016,.284,.470,.352,.344,.183,90.0,9.9,7.8,
Murphy, Daniel,2016,.328,.573,.406,.378,.242,90.6,16.8,8.5,
Goldschmidt, Paul,2016,.272,.458,.367,.392,.183,91.0,11.1,7.8,
Gonzalez, Marwin,2016,.243,.393,.294,.283,.146,86.2,6.5,5.4,
Altuve, Jose,2016,.324,.528,.391,.386,.201,87.5,10.9,6.9,
Hernandez, Cesar,2016,.285,.364,.327,.364,.073,84.2,2.3,1.8,
Segura, Jean,2016,.302,.481,.360,.353,.176,88.2,6.9,5.9,
Castro, Starlin,2016,.269,.423,.316,.301,.151,88.5,8.9,5.4,
Marte, Starling,2016,.288,.439,.338,.341,.147,86.6,8.4,5.4,
Donaldson, Josh,2016,.285,.561,.410,.405,.274,92.0,14.7,12.5,
Freeman, Freddie,2016,.286,.580,.405,.388,.292,91.3,17.3,13.7,
Heyward, Jason,2016,.263,.357,.311,.335,.092,86.7,10.6,2.7,
LeMahieu, DJ,2016,.343,.494,.397,.414,.148,90.4,4.8,4.9,
Lucroy, Jonathan,2016,.276,.473,.349,.342,.194,87.6,14.7,7.6,
Moreland, Mitch,2016,.252,.472,.337,.316,.217,90.5,14.7,9.6,
Rizzo, Anthony,2016,.268,.486,.365,.364,.216,89.0,16.4,9.2,
Vogt, Stephen,2016,.261,.414,.315,.314,.152,85.8,19.2,5.1,
Galvis, Freddy,2016,.239,.356,.273,.273,.114,85.6,12.4,3.0,
Perez, Salvador,2016,.238,.399,.293,.280,.158,88.8,19.1,6.3,
Forsythe, Logan,2016,.275,.483,.357,.344,.206,90.0,13.5,7.5,
Inciarte, Ender,2016,.268,.332,.296,.330,.061,84.5,7.0,0.7,
Ozuna, Marcell,2016,.278,.466,.344,.332,.185,90.7,10.8,7.8,
Villar, Jonathan,2016,.262,.396,.331,.350,.132,88.0,2.9,6.6,
Crawford, Brandon,2016,.256,.412,.322,.328,.154,88.3,12.1,5.6,
Harrison, Josh,2016,.261,.377,.291,.292,.113,85.2,11.5,2.1,
Hosmer, Eric,2016,.266,.451,.339,.331,.181,91.6,3.6,9.4,
Kipnis, Jason,2016,.272,.452,.348,.342,.177,89.1,13.9,6.7,
