last_name, first_name,year,xba,xslg,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,
Hosmer, Eric,2019,.259,.418,.308,.307,.156,90.5,2.1,7.2,
Kipnis, Jason,2019,.261,.418,.316,.323,.155,86.7,13.1,5.5,
McCann, James,2019,.256,.445,.321,.313,.187,89.9,10.7,9.2,
Rendon, Anthony,2019,.319,.599,.418,.415,.279,90.4,19.5,12.0,
Semien, Marcus,2019,.275,.495,.362,.362,.217,88.8,14.7,8.5,
Springer, George,2019,.287,.578,.398,.380,.288,89.8,10.3,14.3,
Vazquez, Christian,2019,.254,.447,.316,.303,.191,88.7,12.9,6.2,
Wong, Kolten,2019,.259,.368,.308,.339,.106,83.6,10.6,2.5,
Garcia, Leury,2019,.247,.352,.274,.280,.101,86.6,4.8,3.8,
Grichuk, Randal,2019,.237,.427,.301,.286,.188,89.3,16.2,8.5,
Trout, Mike,2019,.311,.669,.455,.456,.357,90.7,22.2,18.6,
Harper, Bryce,2019,.279,.548,.387,.389,.267,91.3,13.1,14.8,
Abreu, Jose,2019,.283,.520,.359,.336,.234,92.1,10.9,12.8,
Narvaez, Omar,2019,.254,.422,.324,.332,.165,85.4,17.8,5.3,
Suarez, Eugenio,2019,.248,.503,.355,.341,.253,89.4,17.8,14.0,
Santana, Domingo,2019,.257,.492,.347,.334,.233,89.0,11.7,12.5,
Urshela, Gio,2019,.294,.505,.353,.337,.209,90.5,13.6,7.0,
Sanchez, Yolmer,2019,.237,.320,.276,.305,.080,85.6,12.8,1.0,
Arenado, Nolan,2019,.272,.484,.344,.343,.208,89.4,17.7,8.0,
Muncy, Max,2019,.269,.522,.385,.390,.251,89.7,14.2,12.3,
Myers, Wil,2019,.241,.435,.323,.323,.193,88.9,11.1,11.2,
Voit, Luke,2019,.249,.494,.365,.367,.242,89.7,12.8,13.2,
Walker, Christian,2019,.263,.516,.362,.352,.250,91.1,14.8,13.1,
Carpenter, Matt,2019,.230,.427,.332,.340,.194,87.2,18.1,7.8,
Dozier, Brian,2019,.240,.432,.331,.343,.190,88.3,19.0,6.7,
Iglesias, Jose,2019,.272,.369,.289,.303,.093,84.0,7.0,2.5,
Bryant, Kris,2019,.246,.460,.347,.351,.212,87.4,19.3,9.3,
Canha, Mark,2019,.248,.469,.362,.376,.219,89.1,15.0,9.5,
Castellanos, Nicholas,2019,.283,.547,.364,.333,.262,89.0,13.9,11.2,
Machado, Manny,2019,.266,.466,.342,.345,.198,91.2,13.0,8.0,
Moran, Colin,2019,.262,.442,.316,.309,.178,88.2,12.3,7.4,
Pederson, Joc,2019,.254,.477,.347,.343,.221,90.9,15.3,10.3,
Realmuto, J.T.,2019,.278,.474,.342,.337,.192,90.3,14.4,8.7,
Renfroe, Hunter,2019,.218,.451,.311,.292,.230,89.9,19.1,12.0,
Rosario, Eddie,2019,.269,.501,.330,.297,.230,89.1,16.7,8.5,
Yelich, Christian,2019,.314,.623,.421,.418,.307,93.1,11.2,15.8,
Merrifield, Whit,2019,.288,.435,.325,.335,.145,86.4,15.3,4.3,
Bogaerts, Xander,2019,.280,.484,.358,.360,.202,90.6,13.1,8.6,
Alberto, Hanser,2019,.290,.397,.303,.315,.105,82.8,10.7,2.9,
Polanco, Jorge,2019,.279,.469,.344,.345,.188,87.0,17.9,6.7,
Calhoun, Kole,2019,.247,.477,.340,.339,.228,89.3,14.7,11.2,
Eaton, Adam,2019,.277,.423,.340,.363,.144,86.6,13.2,3.8,
Kiermaier, Kevin,2019,.246,.393,.292,.295,.144,88.9,6.7,5.5,
Profar, Jurickson,2019,.251,.426,.323,.332,.172,86.7,14.2,6.2,
Baez, Javier,2019,.270,.503,.334,.305,.231,91.0,7.6,12.7,
Lindor, Francisco,2019,.276,.462,.330,.330,.183,90.6,11.9,7.5,
Odor, Rougned,2019,.229,.468,.322,.304,.239,89.4,16.2,13.6,
Story, Trevor,2019,.264,.463,.339,.337,.198,90.9,17.3,8.6,
Vogelbach, Daniel,2019,.228,.445,.346,.359,.216,88.9,17.2,10.8,
Kepler, Max,2019,.262,.458,.342,.346,.195,89.7,18.2,8.9,
Choi, Ji-Man,2019,.263,.496,.366,.368,.230,91.1,12.6,11.3,
Bradley Jr., Jackie,2019,.242,.435,.327,.334,.191,89.7,8.7,9.9,
Nunez, Renato,2019,.252,.469,.331,.319,.216,89.9,20.0,10.7,
Ahmed, Nick,2019,.257,.422,.318,.323,.163,87.5,7.5,6.6,
Anderson, Brian,2019,.259,.461,.343,.343,.198,89.9,11.1,8.9,
Bell, Josh,2019,.283,.556,.381,.374,.271,92.3,13.0,12.7,
Betts, Mookie,2019,.311,.573,.408,.408,.260,91.0,19.1,10.3,
Panik, Joe,2019,.251,.373,.304,.323,.118,86.3,12.3,2.0,
Smith, Mallex,2019,.219,.297,.265,.293,.074,84.3,7.2,2.2,
Arcia, Orlando,2019,.232,.367,.284,.295,.131,87.5,6.3,4.6,
Marte, Ketel,2019,.299,.521,.370,.362,.219,89.8,11.5,9.3,
Turner, Trea,2019,.282,.454,.336,.340,.169,90.3,9.7,6.8,
Pillar, Kevin,2019,.263,.407,.295,.294,.142,86.0,13.9,4.9,
Ramirez, Jose,2019,.274,.465,.342,.347,.190,89.1,19.8,6.3,
Bregman, Alex,2019,.272,.471,.378,.407,.198,89.3,19.6,5.4,
Seager, Corey,2019,.261,.464,.332,.326,.199,88.8,14.1,7.3,
Reyes, Franmil,2019,.264,.539,.360,.328,.273,93.3,9.5,14.8,
Swanson, Dansby,2019,.271,.480,.347,.346,.206,89.8,14.2,10.1,
Newman, Kevin,2019,.291,.389,.312,.337,.095,84.7,8.1,2.1,
Olson, Matt,2019,.276,.576,.386,.360,.296,91.9,18.3,14.5,
Alonso, Pete,2019,.257,.542,.374,.358,.284,90.6,14.8,15.8,
Conforto, Michael,2019,.262,.504,.367,.370,.240,88.8,15.7,11.9,
Frazier, Adam,2019,.275,.399,.315,.334,.121,86.3,12.1,1.9,
Puig, Yasiel,2019,.266,.464,.334,.327,.196,89.9,14.2,9.6,
Soler, Jorge,2019,.277,.593,.392,.365,.314,92.6,15.4,16.9,
Meadows, Austin,2019,.284,.547,.372,.358,.261,90.4,16.7,12.5,
Mercado, Oscar,2019,.262,.403,.308,.313,.139,86.5,13.4,4.1,
Anderson, Tim,2019,.294,.461,.328,.318,.164,88.3,8.7,5.1,
Bellinger, Cody,2019,.323,.638,.429,.423,.314,90.7,17.6,13.0,
Dozier, Hunter,2019,.261,.471,.337,.333,.208,91.1,16.7,10.0,
Mancini, Trey,2019,.283,.511,.364,.359,.224,90.3,7.8,10.3,
McMahon, Ryan,2019,.245,.429,.322,.325,.182,91.4,8.4,9.0,
Rosario, Amed,2019,.291,.423,.320,.328,.130,89.2,8.8,4.2,
Adames, Willy,2019,.249,.433,.315,.312,.182,87.8,10.0,8.4,
Benintendi, Andrew,2019,.267,.461,.340,.344,.192,88.6,17.3,8.1,
McNeil, Jeff,2019,.290,.472,.355,.360,.178,88.4,13.2,4.8,
Albies, Ozzie,2019,.291,.490,.351,.348,.197,88.8,15.6,6.6,
Robles, Victor,2019,.233,.370,.292,.307,.134,81.0,14.5,4.8,
Devers, Rafael,2019,.295,.519,.360,.347,.223,92.1,10.3,9.0,
Jimenez, Eloy,2019,.268,.521,.349,.318,.251,91.2,9.3,12.8,
Torres, Gleyber,2019,.262,.497,.341,.324,.233,89.0,17.4,10.1,
Chapman, Matt,2019,.255,.505,.360,.347,.248,92.6,16.3,12.3,
Hoskins, Rhys,2019,.221,.426,.342,.363,.203,89.7,24.0,9.7,
Schwarber, Kyle,2019,.267,.553,.375,.356,.284,92.7,15.0,14.5,
DeJong, Paul,2019,.237,.439,.325,.323,.201,87.0,18.5,8.6,
Laureano, Ramon,2019,.274,.487,.342,.330,.211,89.5,14.8,9.7,
Moncada, Yoan,2019,.291,.524,.362,.346,.231,92.8,12.0,12.2,
Acuna Jr., Ronald,2019,.279,.572,.386,.365,.290,90.6,14.2,15.0,
Fletcher, David,2019,.302,.380,.323,.361,.076,83.7,9.8,0.4,
Kingery, Scott,2019,.247,.435,.314,.306,.187,88.2,17.5,8.0,
Guerrero Jr., Vladimir,2019,.263,.437,.330,.332,.170,89.4,6.7,7.7,
Soto, Juan,2019,.285,.576,.407,.404,.288,91.3,12.0,12.3,
Reynolds, Bryan,2019,.296,.476,.357,.363,.179,89.6,9.4,6.7,
Martinez, Victor,2018,.267,.414,.314,.315,.143,87.8,14.0,4.7,
Mauer, Joe,2018,.293,.446,.351,.361,.149,90.7,4.5,5.0,
Choo, Shin-Soo,2018,.251,.464,.361,.366,.210,89.0,6.1,11.1,
Molina, Yadier,2018,.269,.440,.333,.324,.166,88.1,15.4,5.5,
Encarnacion, Edwin,2018,.249,.492,.362,.343,.239,89.9,18.1,11.7,
Jones, Adam,2018,.271,.411,.311,.304,.138,88.0,13.0,4.9,
Kinsler, Ian,2018,.248,.369,.299,.309,.118,85.3,17.8,3.1,
Desmond, Ian,2018,.232,.389,.304,.304,.153,89.9,0.0,7.0,
Cruz, Nelson,2018,.277,.555,.389,.361,.275,93.9,12.8,13.8,
Peralta, David,2018,.279,.473,.350,.340,.191,91.5,6.7,7.8,
Escobar, Alcides,2018,.241,.329,.275,.291,.085,83.1,9.5,2.1,
Jay, Jon,2018,.260,.343,.298,.324,.079,84.1,3.2,1.8,
Longoria, Evan,2018,.249,.425,.308,.289,.172,88.5,13.6,7.6,
Davis, Chris,2018,.189,.357,.272,.264,.166,89.0,14.7,10.3,
Zobrist, Ben,2018,.280,.396,.336,.359,.113,89.4,8.5,3.0,
Cabrera, Asdrubal,2018,.255,.438,.323,.310,.180,89.6,14.3,7.2,
Blackmon, Charlie,2018,.282,.446,.347,.351,.161,87.2,11.8,6.5,
Markakis, Nick,2018,.294,.429,.345,.367,.132,90.6,10.1,3.1,
Nunez, Eduardo,2018,.271,.360,.289,.299,.086,88.2,9.2,3.4,
Cain, Lorenzo,2018,.289,.392,.342,.379,.100,89.1,4.9,3.4,
McCutchen, Andrew,2018,.263,.446,.361,.376,.181,90.1,13.4,8.4,
Upton, Justin,2018,.256,.472,.358,.347,.213,90.7,11.8,14.0,
Votto, Joey,2018,.290,.481,.395,.424,.189,88.1,13.3,6.7,
Gardner, Brett,2018,.234,.340,.296,.321,.102,87.3,8.4,2.8,
Gordon, Alex,2018,.258,.435,.334,.336,.174,88.5,10.9,6.8,
Kemp, Matt,2018,.278,.528,.362,.329,.248,89.6,15.8,11.3,
Santana, Carlos,2018,.245,.420,.346,.367,.172,88.8,15.1,7.2,
Gonzalez, Carlos,2018,.252,.391,.303,.308,.137,89.4,8.9,6.2,
Alonso, Yonder,2018,.252,.447,.331,.320,.191,87.7,15.6,10.1,
Smoak, Justin,2018,.222,.436,.335,.334,.211,89.5,14.9,10.8,
Lowrie, Jed,2018,.251,.420,.333,.340,.166,89.0,17.2,5.3,
Brantley, Michael,2018,.307,.457,.360,.365,.145,89.9,9.5,3.7,
Gurriel, Yuli,2018,.264,.366,.293,.301,.099,89.3,11.5,1.9,
Solarte, Yangervis,2018,.254,.394,.304,.304,.135,87.0,13.9,4.5,
Rojas, Miguel,2018,.263,.349,.289,.308,.082,84.1,8.9,0.9,
Escobar, Eduardo,2018,.249,.429,.321,.317,.177,86.5,18.8,8.3,
Martinez, Jose,2018,.309,.521,.384,.369,.209,90.7,8.0,9.4,
Davis, Khris,2018,.248,.567,.376,.329,.317,92.5,18.1,17.2,
Pham, Tommy,2018,.292,.508,.382,.381,.213,92.8,6.7,10.1,
Martinez, J.D.,2018,.312,.621,.421,.388,.306,93.0,10.7,16.0,
Goldschmidt, Paul,2018,.272,.534,.384,.374,.259,90.8,15.7,13.6,
Gonzalez, Marwin,2018,.243,.411,.318,.320,.167,87.4,10.0,6.8,
Altuve, Jose,2018,.296,.459,.358,.368,.159,86.3,9.5,5.9,
Hernandez, Cesar,2018,.252,.361,.321,.356,.105,84.2,9.4,4.2,
Segura, Jean,2018,.283,.401,.315,.323,.114,87.0,7.4,3.6,
Castro, Starlin,2018,.262,.407,.314,.316,.142,88.5,8.4,6.9,
Marte, Starling,2018,.279,.467,.342,.329,.184,87.5,8.2,7.5,
Dietrich, Derek,2018,.238,.383,.303,.306,.143,87.4,15.7,6.1,
Freeman, Freddie,2018,.295,.533,.387,.378,.235,89.1,14.5,9.3,
Grandal, Yasmani,2018,.222,.446,.338,.334,.220,88.9,14.0,11.9,
LeMahieu, DJ,2018,.282,.424,.327,.328,.140,91.1,5.7,5.2,
Moustakas, Mike,2018,.262,.465,.338,.326,.200,89.3,19.6,8.8,
Rizzo, Anthony,2018,.291,.469,.366,.385,.175,89.9,14.4,6.5,
Stanton, Giancarlo,2018,.247,.473,.344,.330,.224,93.7,11.6,15.1,
Galvis, Freddy,2018,.227,.350,.278,.283,.120,87.5,13.2,3.9,
Perez, Salvador,2018,.260,.480,.334,.299,.218,91.2,18.0,10.8,
Inciarte, Ender,2018,.254,.340,.294,.318,.081,83.6,10.0,1.5,
Ozuna, Marcell,2018,.291,.499,.359,.338,.206,91.5,10.8,9.7,
Villar, Jonathan,2018,.231,.358,.291,.300,.123,87.2,2.7,5.1,
Aguilar, Jesus,2018,.255,.493,.358,.340,.236,89.8,16.2,11.4,
Crawford, Brandon,2018,.260,.384,.311,.334,.122,87.3,11.1,3.6,
Cron, C.J.,2018,.251,.486,.347,.322,.231,88.0,15.2,12.2,
Hicks, Aaron,2018,.266,.466,.372,.384,.197,88.9,12.5,8.8,
Hosmer, Eric,2018,.251,.392,.310,.322,.136,88.8,-1.2,6.4,
Kipnis, Jason,2018,.237,.395,.315,.323,.154,86.1,17.0,6.6,
Rendon, Anthony,2018,.307,.548,.389,.373,.238,90.6,17.7,10.3,
Semien, Marcus,2018,.245,.380,.304,.311,.132,86.6,15.3,4.5,
Shaw, Travis,2018,.242,.459,.347,.348,.214,88.4,16.6,10.3,
Springer, George,2018,.255,.458,.345,.338,.200,88.6,9.5,8.9,
Gordon, Dee,2018,.277,.333,.278,.298,.050,80.6,3.5,0.2,
Gregorius, Didi,2018,.262,.402,.319,.331,.137,86.5,15.6,4.7,
Trout, Mike,2018,.295,.597,.432,.447,.300,91.2,18.6,16.5,
Herrera, Odubel,2018,.235,.358,.285,.292,.120,86.3,12.3,4.9,
Harper, Bryce,2018,.260,.511,.388,.403,.248,90.6,13.9,11.5,
Abreu, Jose,2018,.281,.496,.358,.344,.213,91.3,12.2,9.1,
Suarez, Eugenio,2018,.277,.517,.375,.363,.236,91.2,14.7,9.7,
Polanco, Gregory,2018,.248,.448,.342,.339,.197,88.6,19.9,9.4,
Sanchez, Yolmer,2018,.240,.346,.289,.304,.104,85.6,8.5,3.0,
Arenado, Nolan,2018,.267,.474,.353,.351,.204,89.7,15.3,7.4,
Barnhart, Tucker,2018,.239,.354,.301,.321,.110,85.9,11.7,3.5,
Gennett, Scooter,2018,.259,.406,.312,.312,.144,86.7,13.3,5.8,
Hamilton, Billy,2018,.230,.273,.260,.296,.039,79.3,14.3,0.5,
Haniger, Mitch,2018,.281,.501,.371,.365,.218,90.2,12.7,10.3,
Piscotty, Stephen,2018,.266,.488,.354,.331,.219,88.5,13.1,9.6,
Seager, Kyle,2018,.247,.416,.308,.297,.167,89.7,18.4,5.6,
Carpenter, Matt,2018,.271,.546,.392,.388,.273,89.6,20.4,13.7,
Dickerson, Corey,2018,.287,.454,.332,.321,.164,87.8,14.8,6.1,
Dozier, Brian,2018,.210,.353,.292,.302,.140,86.7,17.8,6.3,
Contreras, Willson,2018,.233,.370,.310,.326,.133,87.0,6.8,7.3,
Castellanos, Nicholas,2018,.301,.530,.377,.357,.228,89.6,15.2,11.2,
Healy, Ryon,2018,.259,.440,.320,.301,.178,89.4,12.1,7.1,
Machado, Manny,2018,.289,.517,.372,.362,.225,91.6,14.4,11.3,
Realmuto, J.T.,2018,.278,.478,.354,.343,.198,88.9,14.4,9.0,
Rosario, Eddie,2018,.247,.428,.303,.285,.178,87.3,17.4,8.3,
Simmons, Andrelton,2018,.288,.403,.324,.336,.112,87.8,7.7,4.1,
Yelich, Christian,2018,.327,.572,.418,.406,.241,92.3,4.7,12.9,
Merrifield, Whit,2018,.280,.426,.341,.349,.144,86.5,16.6,4.6,
Bogaerts, Xander,2018,.283,.498,.367,.358,.212,90.5,12.7,9.8,
Calhoun, Kole,2018,.251,.451,.333,.323,.198,90.4,12.0,9.3,
Profar, Jurickson,2018,.257,.397,.325,.339,.137,87.3,12.3,5.0,
Baez, Javier,2018,.279,.509,.349,.317,.227,89.6,9.2,12.6,
Lindor, Francisco,2018,.292,.515,.375,.365,.221,90.2,14.5,9.5,
Odor, Rougned,2018,.247,.410,.319,.322,.160,87.8,11.7,7.1,
Story, Trevor,2018,.263,.508,.353,.323,.242,90.8,15.7,12.7,
Kepler, Max,2018,.234,.404,.322,.329,.168,89.5,16.2,6.6,
Bradley Jr., Jackie,2018,.265,.463,.346,.341,.197,91.9,12.0,10.3,
Candelario, Jeimer,2018,.203,.345,.289,.299,.139,87.1,15.3,6.0,
Ahmed, Nick,2018,.239,.371,.290,.294,.128,86.5,11.3,5.1,
Anderson, Brian,2018,.261,.409,.334,.347,.145,90.2,8.7,5.8,
Bell, Josh,2018,.260,.420,.340,.356,.156,90.0,9.2,7.0,
Betts, Mookie,2018,.314,.610,.433,.414,.295,92.2,18.3,14.1,
Smith, Mallex,2018,.270,.352,.311,.343,.077,84.0,2.6,1.5,
Hernandez, Teoscar,2018,.235,.498,.340,.300,.260,91.8,17.0,15.5,
Peraza, Jose,2018,.284,.387,.309,.323,.099,83.9,13.4,2.5,
Marte, Ketel,2018,.261,.396,.320,.333,.132,88.5,5.7,5.0,
Nimmo, Brandon,2018,.241,.398,.352,.386,.152,89.5,10.5,6.5,
Turner, Trea,2018,.282,.421,.337,.354,.135,87.8,8.3,5.8,
Pillar, Kevin,2018,.280,.432,.320,.310,.150,87.1,16.5,5.7,
Ramirez, Jose,2018,.266,.474,.366,.384,.206,88.9,18.8,8.5,
Bregman, Alex,2018,.271,.468,.371,.382,.195,89.2,16.9,7.6,
Gallo, Joey,2018,.232,.539,.369,.334,.306,93.9,21.6,22.5,
Mazara, Nomar,2018,.269,.452,.339,.329,.180,90.5,5.3,8.5,
Andujar, Miguel,2018,.281,.444,.326,.314,.161,89.2,12.3,6.3,
Swanson, Dansby,2018,.229,.359,.278,.296,.127,86.8,12.9,4.1,
Taylor, Chris,2018,.247,.417,.327,.328,.168,88.6,16.4,8.6,
Wendle, Joey,2018,.263,.372,.306,.325,.107,88.4,10.3,2.7,
Olson, Matt,2018,.250,.492,.355,.338,.240,93.1,17.8,12.2,
Duffy, Matt,2018,.277,.358,.314,.346,.077,86.6,4.6,1.2,
Margot, Manuel,2018,.255,.371,.294,.305,.113,88.7,11.4,3.3,
Camargo, Johan,2018,.240,.379,.310,.324,.136,88.0,12.5,5.0,
Conforto, Michael,2018,.243,.429,.339,.350,.183,87.9,11.9,9.5,
Anderson, Tim,2018,.227,.361,.274,.270,.131,85.6,10.5,4.7,
Bellinger, Cody,2018,.242,.433,.328,.329,.189,89.7,16.1,8.6,
Mancini, Trey,2018,.257,.443,.332,.317,.182,89.9,5.4,11.8,
Rosario, Amed,2018,.260,.370,.291,.300,.106,87.3,7.2,3.9,
Benintendi, Andrew,2018,.286,.457,.357,.363,.168,88.4,12.6,6.4,
Albies, Ozzie,2018,.251,.403,.303,.296,.149,86.3,15.5,4.7,
Chapman, Matt,2018,.260,.433,.339,.340,.171,93.0,14.7,8.9,
Hoskins, Rhys,2018,.235,.463,.352,.348,.225,88.9,22.4,11.4,
Schwarber, Kyle,2018,.247,.473,.350,.363,.224,90.0,11.5,12.7,
Moncada, Yoan,2018,.219,.389,.302,.301,.168,90.6,15.1,9.6,