year_film,movie_title,guildwin,category,nominee
1948,a letter to three wives,True,director,a letter to three wives
1948,red river,False,director,red river
1948,the snake pit,False,director,the snake pit
1948,the search,False,director,the search
1949,all the king's men,True,director,all the king's men
1949,the third man,False,director,the third man
1949,champion,False,director,champion
1949,lost boundaries,False,director,lost boundaries
1950,all about eve,True,director,all about eve
1950,the asphalt jungle,False,director,the asphalt jungle
1950,father's little dividend,False,director,father's little dividend
1950,sunset boulevard,False,director,sunset boulevard
1951,a place in the sun,True,director,a place in the sun
1951,death of a salesman,False,director,death of a salesman
1951,cyrano de bergerac,False,director,cyrano de bergerac
1951,strangers on a train,False,director,strangers on a train
1951,a streetcar named desire,False,director,a streetcar named desire
1951,david and bathsheba,False,director,david and bathsheba
1951,quo vadis,False,director,quo vadis
1951,decision before dawn,False,director,decision before dawn
1951,an american in paris,False,director,an american in paris
1951,show boat,False,director,show boat
1951,the great caruso,False,director,the great caruso
1951,detective story,False,director,detective story
1952,the quiet man,True,director,the quiet man
1952,the lavender hill mob,False,director,the lavender hill mob
1952,pat and mike,False,director,pat and mike
1952,i'll see you in my dreams,False,director,i'll see you in my dreams
1952,the greatest show on earth,False,director,the greatest show on earth
1952,my six convicts,False,director,my six convicts
1952,the big sky,False,director,the big sky
1952,viva zapata!,False,director,viva zapata!
1952,stanley donen,False,director,stanley donen
1952,the snows of kilimanjaro,False,director,the snows of kilimanjaro
1952,rashomon,False,director,rashomon
1952,pandora and the flying dutchman,False,director,pandora and the flying dutchman
1952,5 fingers,False,director,5 fingers
1952,the bad and the beautiful,False,director,the bad and the beautiful
1952,scaramouche,False,director,scaramouche
1952,ivanhoe,False,director,ivanhoe
1952,hans christian andersen,False,director,hans christian andersen
1952,high noon,False,director,high noon
1953,from here to eternity,True,director,from here to eternity
1953,norman panama,False,director,norman panama
1953,the robe,False,director,the robe
1953,call me madam,False,director,call me madam
1953,julius caesar,False,director,julius caesar
1953,come back little sheba,False,director,come back little sheba
1953,titanic,False,director,titanic
1953,young bess,False,director,young bess
1953,shane,False,director,shane
1953,lili,False,director,lili
1953,stalag 17,False,director,stalag 17
1953,roman holiday,False,director,roman holiday
1954,on the waterfront,True,director,on the waterfront
1954,a star is born,False,director,a star is born
1954,the caine mutiny,False,director,the caine mutiny
1954,seven brides for seven brothers,False,director,seven brides for seven brothers
1954,norman panama,False,director,norman panama
1954,hell and high water,False,director,hell and high water
1954,rear window,False,director,rear window
1954,king of the khyber rifles,False,director,king of the khyber rifles
1954,the glenn miller story,False,director,the glenn miller story
1954,three coins in the fountain,False,director,three coins in the fountain
1954,the country girl,False,director,the country girl
1954,riot in cell block 11,False,director,riot in cell block 11
1954,the high and the mighty,False,director,the high and the mighty
1954,executive suite,False,director,executive suite
1954,sabrina,False,director,sabrina
1955,marty,True,director,marty
1955,blackboard jungle,False,director,blackboard jungle
1955,the long gray line,False,director,the long gray line
1955,east of eden,False,director,east of eden
1955,a man called peter,False,director,a man called peter
1955,picnic,False,director,picnic
1955,the rose tattoo,False,director,the rose tattoo
1955,the bridges at toko-ri,False,director,the bridges at toko-ri
1955,bad day at black rock,False,director,bad day at black rock
1955,love me or leave me,False,director,love me or leave me
1955,the seven year itch,False,director,the seven year itch
1956,giant,True,director,giant
1956,around the world in 80 days,False,director,around the world in 80 days
1956,moby dick,False,director,moby dick
1956,bus stop,False,director,bus stop
1956,teahouse of the august moon,False,director,teahouse of the august moon
1956,war and peace,False,director,war and peace
1956,somebody up there likes me,False,director,somebody up there likes me
1956,friendly persuasion,False,director,friendly persuasion
1957,the bridge on the river kwai,True,director,the bridge on the river kwai
1957,les girls,False,director,les girls
1957,funny face,False,director,funny face
1957,the great man,False,director,the great man
1957,heaven knows mr allison,False,director,heaven knows mr allison
1957,a face in the crowd,False,director,a face in the crowd
1957,the pride and the passion,False,director,the pride and the passion
1957,men in war,False,director,men in war
1957,an affair to remember,False,director,an affair to remember
1957,fear strikes out,False,director,fear strikes out
1957,gunfight at the ok corral,False,director,gunfight at the ok corral
1957,a hatful of rain,False,director,a hatful of rain
1958,gigi,True,director,gigi
1958,stanley donen,False,director,stanley donen
1958,the brothers karamazov,False,director,the brothers karamazov
1958,cowboy,False,director,cowboy
1958,the young lions,False,director,the young lions
1958,the vikings,False,director,the vikings
1958,vertigo,False,director,vertigo
1958,the long hot summer,False,director,the long hot summer
1958,teacher's pet,False,director,teacher's pet
1958,the big country,False,director,the big country
1959,ben-hur,True,director,ben-hur
1959,the shaggy dog,False,director,the shaggy dog
1959,a hole in the head,False,director,a hole in the head
1959,compulsion,False,director,compulsion
1959,the horse soldiers,False,director,the horse soldiers
1959,rio bravo,False,director,rio bravo
1959,north by northwest,False,director,north by northwest
1959,rally round the flag boys!,False,director,rally round the flag boys!
1959,anatomy of a murder,False,director,anatomy of a murder
1959,imitation of life,False,director,imitation of life
1959,the diary of anne frank,False,director,the diary of anne frank
1959,some like it hot,False,director,some like it hot
1959,the nun's story,False,director,the nun's story
1960,the apartment,True,director,the apartment
1960,elmer gantry,False,director,elmer gantry
1960,sunrise at campobello,False,director,sunrise at campobello
1960,sink the bismarck!,False,director,sink the bismarck!
1960,can-can,False,director,can-can
1960,the dark at the top of the stairs,False,director,the dark at the top of the stairs
1960,our man in havana,False,director,our man in havana
1960,hiroshima mon amour,False,director,hiroshima mon amour
1960,please don't eat the daisies,False,director,please don't eat the daisies
1961,jerome robbins,True,director,jerome robbins
1961,one-eyed jacks,False,director,one-eyed jacks
1961,pocketful of miracles,False,director,pocketful of miracles
1961,the innocents,False,director,the innocents
1961,summer and smoke,False,director,summer and smoke
1961,the misfits,False,director,the misfits
1961,splendor in the grass,False,director,splendor in the grass
1961,flower drum song,False,director,flower drum song
1961,judgment at nuremberg,False,director,judgment at nuremberg
1961,hand in hand,False,director,hand in hand
1961,a majority of one,False,director,a majority of one
1961,fanny,False,director,fanny
1961,el cid,False,director,el cid
1961,the great impostor,False,director,the great impostor
1961,a raisin in the sun,False,director,a raisin in the sun
1961,the absent-minded professor,False,director,the absent-minded professor
1961,romanoff and juliet,False,director,romanoff and juliet
1961,the children's hour,False,director,the children's hour
1962,lawrence of arabia,True,director,lawrence of arabia
1962,what ever happened to baby jane?,False,director,what ever happened to baby jane?
1962,the music man,False,director,the music man
1962,lolita,False,director,lolita
1962,mutiny on the bounty,False,director,mutiny on the bounty
1962,to kill a mockingbird,False,director,to kill a mockingbird
1962,requiem for a heavyweight,False,director,requiem for a heavyweight
1962,the miracle worker,False,director,the miracle worker
1962,a taste of honey,False,director,a taste of honey
1963,tom jones,True,director,tom jones
1963,8½,False,director,8½
1963,america america,False,director,america america
1963,lilies of the field,False,director,lilies of the field
1963,hud,False,director,hud
1964,my fair lady,True,director,my fair lady
1964,becket,False,director,becket
1964,the night of the iguana,False,director,the night of the iguana
1964,dr strangelove or: how i learned to stop worrying and love the bomb,False,director,dr strangelove or: how i learned to stop worrying and love the bomb
1964,mary poppins,False,director,mary poppins
1965,the sound of music,True,director,the sound of music
1965,the ipcress file,False,director,the ipcress file
1965,the pawnbroker,False,director,the pawnbroker
1965,darling,False,director,darling
1965,cat ballou,False,director,cat ballou
1966,a man for all seasons,True,director,a man for all seasons
1966,the professionals,False,director,the professionals
1966,grand prix,False,director,grand prix
1966,alfie,False,director,alfie
1966,born free,False,director,born free
1966,the russians are coming the russians are coming,False,director,the russians are coming the russians are coming
1966,a man and a woman,False,director,a man and a woman
1966,georgy girl,False,director,georgy girl
1966,who's afraid of virginia woolf?,False,director,who's afraid of virginia woolf?
1966,the sand pebbles,False,director,the sand pebbles
1967,the graduate,True,director,the graduate
1967,the dirty dozen,False,director,the dirty dozen
1967,in cold blood,False,director,in cold blood
1967,to sir with love,False,director,to sir with love
1967,two for the road,False,director,two for the road
1967,in the heat of the night,False,director,in the heat of the night
1967,guess who's coming to dinner,False,director,guess who's coming to dinner
1967,bonnie and clyde,False,director,bonnie and clyde
1967,cool hand luke,False,director,cool hand luke
1967,ulysses,False,director,ulysses
1968,the lion in winter,True,director,the lion in winter
1968,isabel,False,director,isabel
1968,2001: a space odyssey,False,director,2001: a space odyssey
1968,closely watched trains,False,director,closely watched trains
1968,rachel rachel,False,director,rachel rachel
1968,rosemary's baby,False,director,rosemary's baby
1968,oliver!,False,director,oliver!
1968,the odd couple,False,director,the odd couple
1968,funny girl,False,director,funny girl
1968,romeo and juliet,False,director,romeo and juliet
1969,midnight cowboy,True,director,midnight cowboy
1969,oh! what a lovely war,False,director,oh! what a lovely war
1969,z,False,director,z
1969,butch cassidy and the sundance kid,False,director,butch cassidy and the sundance kid
1969,easy rider,False,director,easy rider
1969,hello dolly!,False,director,hello dolly!
1969,the wild bunch,False,director,the wild bunch
1969,goodbye columbus,False,director,goodbye columbus
1969,they shoot horses don't they?,False,director,they shoot horses don't they?
1969,medium cool,False,director,medium cool
1970,patton,True,director,patton
1970,m*a*s*h,False,director,m*a*s*h
1970,love story,False,director,love story
1970,ryan's daughter,False,director,ryan's daughter
1970,five easy pieces,False,director,five easy pieces
1971,the french connection,True,director,the french connection
1971,the last picture show,False,director,the last picture show
1971,a clockwork orange,False,director,a clockwork orange
1971,summer of '42,False,director,summer of '42
1971,sunday bloody sunday,False,director,sunday bloody sunday
1972,the godfather,True,director,the godfather
1972,deliverance,False,director,deliverance
1972,cabaret,False,director,cabaret
1972,slaughterhouse-five,False,director,slaughterhouse-five
1972,sounder,False,director,sounder
1973,the sting,True,director,the sting
1973,last tango in paris,False,director,last tango in paris
1973,the exorcist,False,director,the exorcist
1973,american graffiti,False,director,american graffiti
1973,serpico,False,director,serpico
1974,the godfather part ii,True,director,the godfather part ii
1974,the conversation,False,director,the conversation
1974,lenny,False,director,lenny
1974,murder on the orient express,False,director,murder on the orient express
1974,chinatown,False,director,chinatown
1975,one flew over the cuckoo's nest,True,director,one flew over the cuckoo's nest
1975,nashville,False,director,nashville
1975,barry lyndon,False,director,barry lyndon
1975,dog day afternoon,False,director,dog day afternoon
1975,jaws,False,director,jaws
1976,rocky,True,director,rocky
1976,network,False,director,network
1976,all the president's men,False,director,all the president's men
1976,taxi driver,False,director,taxi driver
1976,seven beauties,False,director,seven beauties
1977,annie hall,True,director,annie hall
1977,star wars,False,director,star wars
1977,the turning point,False,director,the turning point
1977,close encounters of the third kind,False,director,close encounters of the third kind
1977,julia,False,director,julia
1978,the deer hunter,True,director,the deer hunter
1978,coming home,False,director,coming home
1978,buck henry,False,director,buck henry
1978,an unmarried woman,False,director,an unmarried woman
1978,midnight express,False,director,midnight express
1979,kramer vs kramer,True,director,kramer vs kramer
1979,manhattan,False,director,manhattan
1979,the china syndrome,False,director,the china syndrome
1979,apocalypse now,False,director,apocalypse now
1979,breaking away,False,director,breaking away
1980,ordinary people,True,director,ordinary people
1980,coal miner's daughter,False,director,coal miner's daughter
1980,the elephant man,False,director,the elephant man
1980,the stunt man,False,director,the stunt man
1980,raging bull,False,director,raging bull
1981,reds,True,director,reds
1981,chariots of fire,False,director,chariots of fire
1981,atlantic city,False,director,atlantic city
1981,on golden pond,False,director,on golden pond
1981,raiders of the lost ark,False,director,raiders of the lost ark
1982,gandhi,True,director,gandhi
1982,an officer and a gentleman,False,director,an officer and a gentleman
1982,das boot,False,director,das boot
1982,tootsie,False,director,tootsie
1982,et the extra-terrestrial,False,director,et the extra-terrestrial
1983,terms of endearment,True,director,terms of endearment
1983,tender mercies,False,director,tender mercies
1983,fanny and alexander,False,director,fanny and alexander
1983,the big chill,False,director,the big chill
1983,the right stuff,False,director,the right stuff
1984,amadeus,True,director,amadeus
1984,places in the heart,False,director,places in the heart
1984,a soldier's story,False,director,a soldier's story
1984,the killing fields,False,director,the killing fields
1984,a passage to india,False,director,a passage to india
1985,the color purple,True,director,the color purple
1985,cocoon,False,director,cocoon
1985,prizzi's honor,False,director,prizzi's honor
1985,out of africa,False,director,out of africa
1985,witness,False,director,witness
1986,platoon,True,director,platoon
1986,hannah and her sisters,False,director,hannah and her sisters
1986,children of a lesser god,False,director,children of a lesser god
1986,a room with a view,False,director,a room with a view
1986,stand by me,False,director,stand by me
1987,the last emperor,True,director,the last emperor
1987,broadcast news,False,director,broadcast news
1987,my life as a dog,False,director,my life as a dog
1987,fatal attraction,False,director,fatal attraction
1987,empire of the sun,False,director,empire of the sun
1988,rain man,True,director,rain man
1988,a fish called wanda,False,director,a fish called wanda
1988,working girl,False,director,working girl
1988,mississippi burning,False,director,mississippi burning
1988,who framed roger rabbit,False,director,who framed roger rabbit
1989,born on the fourth of july,True,director,born on the fourth of july
1989,crimes and misdemeanors,False,director,crimes and misdemeanors
1989,when harry met sally,False,director,when harry met sally
1989,field of dreams,False,director,field of dreams
1989,dead poets society,False,director,dead poets society
1990,dances with wolves,True,director,dances with wolves
1990,the godfather part iii,False,director,the godfather part iii
1990,avalon,False,director,avalon
1990,goodfellas,False,director,goodfellas
1990,cinema paradiso,False,director,cinema paradiso
1991,the silence of the lambs,True,director,the silence of the lambs
1991,bugsy,False,director,bugsy
1991,thelma and louise,False,director,thelma and louise
1991,jfk,False,director,jfk
1991,the prince of tides,False,director,the prince of tides
1992,unforgiven,True,director,unforgiven
1992,the player,False,director,the player
1992,howards end,False,director,howards end
1992,the crying game,False,director,the crying game
1992,a few good men,False,director,a few good men
1993,schindler's list,True,director,schindler's list
1993,the piano,False,director,the piano
1993,the fugitive,False,director,the fugitive
1993,the remains of the day,False,director,the remains of the day
1993,the age of innocence,False,director,the age of innocence
1994,forrest gump,True,director,forrest gump
1994,the shawshank redemption,False,director,the shawshank redemption
1994,four weddings and a funeral,False,director,four weddings and a funeral
1994,quiz show,False,director,quiz show
1994,pulp fiction,False,director,pulp fiction
1995,apollo 13,True,director,apollo 13
1995,leaving las vegas,False,director,leaving las vegas
1995,braveheart,False,director,braveheart
1995,sense and sensibility,False,director,sense and sensibility
1995,il postino: the postman,False,director,il postino: the postman
1996,the english patient,True,director,the english patient
1996,fargo,False,director,fargo
1996,jerry maguire,False,director,jerry maguire
1996,shine,False,director,shine
1996,secrets and lies,False,director,secrets and lies
1997,titanic,True,director,titanic
1997,as good as it gets,False,director,as good as it gets
1997,la confidential,False,director,la confidential
1997,amistad,False,director,amistad
1997,good will hunting,False,director,good will hunting
1998,saving private ryan,True,director,saving private ryan
1998,life is beautiful,False,director,life is beautiful
1998,shakespeare in love,False,director,shakespeare in love
1998,the thin red line,False,director,the thin red line
1998,the truman show,False,director,the truman show
1999,american beauty,True,director,american beauty
1999,the green mile,False,director,the green mile
1999,being john malkovich,False,director,being john malkovich
1999,the insider,False,director,the insider
1999,the sixth sense,False,director,the sixth sense
2000,crouching tiger hidden dragon,True,director,crouching tiger hidden dragon
2000,almost famous,False,director,almost famous
2000,gladiator,False,director,gladiator
2000,erin brockovich,False,director,erin brockovich
2000,traffic,False,director,traffic
2001,a beautiful mind,True,director,a beautiful mind
2001,the lord of the rings: the fellowship of the ring,False,director,the lord of the rings: the fellowship of the ring
2001,moulin rouge!,False,director,moulin rouge!
2001,memento,False,director,memento
2001,black hawk down,False,director,black hawk down
2002,chicago,True,director,chicago
2002,the hours,False,director,the hours
2002,the lord of the rings: the two towers,False,director,the lord of the rings: the two towers
2002,the pianist,False,director,the pianist
2002,gangs of new york,False,director,gangs of new york
2003,the lord of the rings: the return of the king,True,director,the lord of the rings: the return of the king
2003,lost in translation,False,director,lost in translation
2003,mystic river,False,director,mystic river
2003,seabiscuit,False,director,seabiscuit
2003,master and commander: the far side of the world,False,director,master and commander: the far side of the world
2004,million dollar baby,True,director,million dollar baby
2004,finding neverland,False,director,finding neverland
2004,ray,False,director,ray
2004,sideways,False,director,sideways
2004,the aviator,False,director,the aviator
2005,brokeback mountain,True,director,brokeback mountain
2005,good night and good luck,False,director,good night and good luck
2005,crash,False,director,crash
2005,capote,False,director,capote
2005,munich,False,director,munich
2006,the departed,True,director,the departed
2006,dreamgirls,False,director,dreamgirls
2006,little miss sunshine,False,director,little miss sunshine
2006,the queen,False,director,the queen
2006,babel,False,director,babel
2007,no country for old men,True,director,no country for old men
2007,there will be blood,False,director,there will be blood
2007,michael clayton,False,director,michael clayton
2007,into the wild,False,director,into the wild
2007,the diving bell and the butterfly,False,director,the diving bell and the butterfly
2008,slumdog millionaire,True,director,slumdog millionaire
2008,the curious case of benjamin button,False,director,the curious case of benjamin button
2008,frost/nixon,False,director,frost/nixon
2008,the dark knight,False,director,the dark knight
2008,milk,False,director,milk
2009,the hurt locker,True,director,the hurt locker
2009,avatar,False,director,avatar
2009,precious,False,director,precious
2009,up in the air,False,director,up in the air
2009,inglourious basterds,False,director,inglourious basterds
2010,the king's speech,True,director,the king's speech
2010,black swan,False,director,black swan
2010,the social network,False,director,the social network
2010,inception,False,director,inception
2010,the fighter,False,director,the fighter
2011,the artist,True,director,the artist
2011,midnight in paris,False,director,midnight in paris
2011,the girl with the dragon tattoo,False,director,the girl with the dragon tattoo
2011,the descendants,False,director,the descendants
2011,hugo,False,director,hugo
2012,argo,True,director,argo
2012,zero dark thirty,False,director,zero dark thirty
2012,les misérables,False,director,les misérables
2012,life of pi,False,director,life of pi
2012,lincoln,False,director,lincoln
2013,gravity,True,director,gravity
2013,captain phillips,False,director,captain phillips
2013,12 years a slave,False,director,12 years a slave
2013,american hustle,False,director,american hustle
2013,the wolf of wall street,False,director,the wolf of wall street
2014,birdman or (the unexpected virtue of ignorance),True,director,birdman or (the unexpected virtue of ignorance)
2014,the grand budapest hotel,False,director,the grand budapest hotel
2014,american sniper,False,director,american sniper
2014,boyhood,False,director,boyhood
2014,the imitation game,False,director,the imitation game
2015,the revenant,True,director,the revenant
2015,spotlight,False,director,spotlight
2015,the big short,False,director,the big short
2015,mad max: fury road,False,director,mad max: fury road
2015,the martian,False,director,the martian
2016,la la land,True,director,la la land
2016,lion,False,director,lion
2016,moonlight,False,director,moonlight
2016,manchester by the sea,False,director,manchester by the sea
2016,arrival,False,director,arrival
2017,the shape of water,True,director,the shape of water
2017,lady bird,False,director,lady bird
2017,three billboards outside ebbing missouri,False,director,three billboards outside ebbing missouri
2017,dunkirk,False,director,dunkirk
2017,get out,False,director,get out
2018,roma,True,director,roma
2018,a star is born,False,director,a star is born
2018,green book,False,director,green book
2018,blackkklansman,False,director,blackkklansman
2018,vice,False,director,vice
2019,1917,True,director,1917
2019,parasite,False,director,parasite
2019,the irishman,False,director,the irishman
2019,once upon a time in hollywood,False,director,once upon a time in hollywood
2019,jojo rabbit,False,director,jojo rabbit
